epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6659,1.55786,2.33508,1.24483,0.64038,0.78186,0.6965,0.55562,0.82617,0.81151,0.9547,0.000207668,0.000207668,0.000207668
2,85.6463,0.92625,0.87821,0.96962,0.78284,0.94597,0.8398,0.72306,0.66251,0.59312,0.89456,0.000411883,0.000411883,0.000411883
3,114.948,0.8123,0.74205,0.93362,0.81439,0.94161,0.8731,0.75858,0.71032,0.56648,0.90589,0.000611973,0.000611973,0.000611973
4,143.676,0.7845,0.67111,0.92454,0.9075,0.94144,0.95597,0.84667,0.60933,0.48523,0.87948,0.000606437,0.000606437,0.000606437
5,172.843,0.70565,0.58847,0.90503,0.96525,0.96964,0.98772,0.89735,0.5225,0.41134,0.85706,0.00060025,0.00060025,0.00060025
6,202.641,0.68229,0.54554,0.89763,0.97395,0.97242,0.99078,0.89711,0.60617,0.40863,0.86668,0.000594062,0.000594062,0.000594062
7,231.313,0.66621,0.51384,0.89323,0.98102,0.9762,0.99011,0.91694,0.46983,0.36046,0.84268,0.000587875,0.000587875,0.000587875
8,260.075,0.64061,0.49164,0.88405,0.99009,0.98411,0.99319,0.91131,0.53146,0.3607,0.85277,0.000581687,0.000581687,0.000581687
9,288.654,0.61968,0.47186,0.88047,0.98947,0.9844,0.99304,0.92684,0.44878,0.33778,0.83825,0.0005755,0.0005755,0.0005755
10,317.589,0.61292,0.45735,0.8771,0.99255,0.98495,0.99309,0.92644,0.43592,0.32137,0.83576,0.000569313,0.000569313,0.000569313
11,346.25,0.60118,0.44502,0.87648,0.99049,0.98702,0.99322,0.92342,0.46453,0.32304,0.83722,0.000563125,0.000563125,0.000563125
12,374.93,0.58764,0.43687,0.87392,0.99345,0.99004,0.99369,0.93505,0.4205,0.31461,0.83052,0.000556938,0.000556938,0.000556938
13,403.99,0.57212,0.42467,0.86935,0.99379,0.98657,0.99316,0.9365,0.4152,0.30396,0.82844,0.00055075,0.00055075,0.00055075
14,432.353,0.57797,0.41488,0.86841,0.99224,0.99036,0.99372,0.93735,0.42216,0.29979,0.82715,0.000544563,0.000544563,0.000544563
15,460.682,0.55864,0.40671,0.86401,0.99592,0.98912,0.99382,0.94347,0.39403,0.28632,0.82168,0.000538375,0.000538375,0.000538375
16,488.966,0.54487,0.39881,0.8611,0.99528,0.9916,0.99379,0.94432,0.41184,0.29099,0.82645,0.000532187,0.000532187,0.000532187
17,518.015,0.54768,0.39208,0.8597,0.99489,0.98996,0.99366,0.95004,0.37823,0.27599,0.81676,0.000526,0.000526,0.000526
18,548.417,0.53733,0.39053,0.8571,0.99458,0.99018,0.99384,0.94827,0.38936,0.27764,0.82044,0.000519812,0.000519812,0.000519812
