epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8199,0.69925,0.51204,0.92336,0.98807,0.98296,0.99311,0.91488,0.49386,0.3226,0.84795,0.000207668,0.000207668,0.000207668
2,83.5521,0.58506,0.40764,0.87529,0.99414,0.98931,0.99344,0.92903,0.43886,0.29695,0.83398,0.000411883,0.000411883,0.000411883
3,112.83,0.57062,0.40078,0.86727,0.99336,0.99122,0.99352,0.9302,0.44177,0.29397,0.83103,0.000611973,0.000611973,0.000611973
4,142.944,0.57846,0.39511,0.86683,0.99406,0.98988,0.99381,0.93346,0.42803,0.28577,0.82551,0.000606437,0.000606437,0.000606437
5,172.56,0.54723,0.38651,0.8613,0.99473,0.99111,0.99323,0.93871,0.41237,0.28498,0.82464,0.00060025,0.00060025,0.00060025
6,201.815,0.54679,0.3836,0.8597,0.99041,0.9831,0.99318,0.91666,0.46411,0.29788,0.8338,0.000594062,0.000594062,0.000594062
7,230.761,0.52771,0.3732,0.85533,0.99371,0.99124,0.99372,0.9428,0.3999,0.27459,0.81974,0.000587875,0.000587875,0.000587875
8,259.887,0.52224,0.36921,0.85209,0.99595,0.99141,0.99403,0.94536,0.39548,0.26862,0.8164,0.000581687,0.000581687,0.000581687
9,288.897,0.51178,0.36209,0.85089,0.99424,0.99335,0.99351,0.95173,0.37511,0.26379,0.81409,0.0005755,0.0005755,0.0005755
10,318.138,0.50889,0.36218,0.8491,0.99679,0.99392,0.99407,0.95156,0.38013,0.26055,0.81501,0.000569313,0.000569313,0.000569313
11,347.144,0.50792,0.36164,0.84979,0.99613,0.99382,0.99402,0.94883,0.39085,0.26659,0.81364,0.000563125,0.000563125,0.000563125
12,376.273,0.50357,0.3577,0.84858,0.99452,0.99201,0.99423,0.94961,0.3815,0.26385,0.814,0.000556938,0.000556938,0.000556938
13,405.009,0.49967,0.35595,0.84764,0.99656,0.99348,0.99413,0.94955,0.42501,0.27152,0.81805,0.00055075,0.00055075,0.00055075
14,433.576,0.49176,0.34815,0.84493,0.99669,0.99204,0.99374,0.9541,0.36759,0.25289,0.80885,0.000544563,0.000544563,0.000544563
15,462.242,0.48481,0.34635,0.84326,0.99716,0.99391,0.99407,0.95832,0.35216,0.24799,0.8053,0.000538375,0.000538375,0.000538375
16,491.996,0.48787,0.34591,0.8431,0.99716,0.99442,0.99424,0.95801,0.36883,0.25391,0.80788,0.000532187,0.000532187,0.000532187
17,522.186,0.4832,0.34293,0.84186,0.99356,0.98967,0.99325,0.94448,0.38789,0.26368,0.81402,0.000526,0.000526,0.000526
18,551.628,0.47682,0.34341,0.84025,0.99793,0.99457,0.99421,0.96332,0.34084,0.24326,0.80521,0.000519812,0.000519812,0.000519812
