epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.392,2.30972,3.28433,1.96209,0.41312,0.41174,0.35421,0.179,1.62872,1.94238,1.48652,0.003328,0.003328,0.003328
2,193.289,1.74443,2.18687,1.53611,0.55876,0.46932,0.48692,0.26129,1.53747,1.70431,1.45479,0.00659539,0.00659539,0.00659539
3,276.716,1.7087,2.05949,1.53352,0.48599,0.41463,0.41321,0.20927,1.64096,1.90646,1.54402,0.00979677,0.00979677,0.00979677
4,359.711,1.66651,1.99813,1.53121,0.46075,0.35447,0.32953,0.15826,1.73265,2.3055,1.62949,0.009703,0.009703,0.009703
5,442.829,1.59054,1.89697,1.49799,0.65509,0.58235,0.60709,0.35269,1.32932,1.40616,1.38964,0.009604,0.009604,0.009604
6,526.62,1.52431,1.83933,1.46313,0.56352,0.44376,0.46635,0.24727,1.54338,1.75982,1.56381,0.009505,0.009505,0.009505
7,609.678,1.48895,1.78727,1.44647,0.67967,0.59911,0.63828,0.39,1.18483,1.33567,1.33092,0.009406,0.009406,0.009406
8,692.675,1.44838,1.74744,1.43088,0.68126,0.59695,0.63393,0.39225,1.20136,1.3213,1.32854,0.009307,0.009307,0.009307
9,776.411,1.41806,1.70727,1.4129,0.68838,0.65209,0.68582,0.42921,1.18306,1.21974,1.3361,0.009208,0.009208,0.009208
10,860.041,1.39654,1.67641,1.39868,0.48491,0.35213,0.35017,0.17508,1.68765,2.30366,1.6472,0.009109,0.009109,0.009109
11,943.283,1.38204,1.66085,1.39014,0.74535,0.68599,0.73956,0.48546,1.06149,1.11271,1.25034,0.00901,0.00901,0.00901
12,1025.77,1.36543,1.6402,1.38134,0.74238,0.67333,0.74223,0.48185,1.09143,1.12248,1.27372,0.008911,0.008911,0.008911
13,1108.51,1.34481,1.61307,1.37217,0.73585,0.68563,0.74095,0.48913,1.07855,1.10681,1.25846,0.008812,0.008812,0.008812
14,1191.73,1.32359,1.59729,1.36201,0.75174,0.69289,0.7507,0.50768,1.004,1.09673,1.23053,0.008713,0.008713,0.008713
15,1276.63,1.3275,1.59159,1.36585,0.76892,0.71504,0.77416,0.5239,1.02365,1.02561,1.2419,0.008614,0.008614,0.008614
16,1362.08,1.3056,1.57466,1.35117,0.78545,0.7117,0.78087,0.52347,1.03053,1.04004,1.23703,0.008515,0.008515,0.008515
17,1445.89,1.3029,1.56689,1.35227,0.71423,0.66071,0.72174,0.4314,1.25436,1.17248,1.37047,0.008416,0.008416,0.008416
18,1529.25,1.28222,1.54319,1.3404,0.65849,0.41847,0.50062,0.27222,1.37883,1.69356,1.45302,0.008317,0.008317,0.008317
19,1612.63,1.2765,1.53821,1.3369,0.8087,0.73521,0.82309,0.57977,0.95177,0.95165,1.18558,0.008218,0.008218,0.008218
20,1695.41,1.26266,1.50411,1.32294,0.82381,0.76167,0.83967,0.58868,0.98108,0.89689,1.1888,0.008119,0.008119,0.008119
21,1778.25,1.25591,1.511,1.32215,0.82991,0.75645,0.84327,0.60764,0.89936,0.87263,1.14138,0.00802,0.00802,0.00802
22,1861.88,1.24631,1.48472,1.31632,0.82782,0.7863,0.85548,0.61431,0.9241,0.84292,1.1411,0.007921,0.007921,0.007921
23,1945.19,1.23424,1.48056,1.31162,0.77441,0.65487,0.75221,0.50698,1.02854,1.10577,1.22736,0.007822,0.007822,0.007822
24,2028.3,1.235,1.48924,1.31354,0.80658,0.74255,0.82144,0.58588,0.93369,0.9262,1.16134,0.007723,0.007723,0.007723
25,2111.42,1.22746,1.46514,1.30716,0.83373,0.77411,0.85402,0.62976,0.86059,0.8553,1.12716,0.007624,0.007624,0.007624
26,2195.13,1.21497,1.4576,1.30424,0.70762,0.58014,0.68757,0.42157,1.19279,1.22505,1.31889,0.007525,0.007525,0.007525
27,2278.25,1.20942,1.45661,1.30135,0.84157,0.78864,0.86967,0.64839,0.84792,0.80546,1.11437,0.007426,0.007426,0.007426
28,2361.64,1.20017,1.43495,1.29062,0.84209,0.79182,0.87145,0.65369,0.83043,0.78848,1.09953,0.007327,0.007327,0.007327
29,2444.46,1.19464,1.41766,1.28807,0.85492,0.79995,0.88182,0.66541,0.83414,0.76844,1.1072,0.007228,0.007228,0.007228
30,2528.94,1.18678,1.41979,1.28096,0.84849,0.79259,0.8741,0.66585,0.8052,0.78381,1.08749,0.007129,0.007129,0.007129
31,2613.1,1.18071,1.41415,1.27938,0.6834,0.56032,0.64808,0.37593,1.22659,1.34677,1.35032,0.00703,0.00703,0.00703
32,2697.27,1.17332,1.40376,1.27374,0.86141,0.8103,0.88956,0.67748,0.79944,0.74802,1.07595,0.006931,0.006931,0.006931
33,2781.19,1.18098,1.41475,1.27906,0.86779,0.81919,0.8936,0.68577,0.78409,0.73016,1.06717,0.006832,0.006832,0.006832
34,2864.71,1.1716,1.39922,1.27399,0.86139,0.82707,0.89782,0.70132,0.75742,0.70495,1.05685,0.006733,0.006733,0.006733
35,2949.27,1.15319,1.38697,1.2651,0.87344,0.83167,0.90455,0.70858,0.74827,0.69978,1.04982,0.006634,0.006634,0.006634
36,3033.4,1.15989,1.391,1.27219,0.87199,0.82466,0.90065,0.68868,0.79776,0.70863,1.07008,0.006535,0.006535,0.006535
37,3116.3,1.1442,1.38053,1.26383,0.87159,0.83753,0.90797,0.70871,0.75787,0.67953,1.04704,0.006436,0.006436,0.006436
38,3199.37,1.13634,1.36984,1.25693,0.87431,0.83125,0.90665,0.70403,0.7644,0.68752,1.05025,0.006337,0.006337,0.006337
39,3282.96,1.14839,1.37848,1.26279,0.88522,0.84175,0.914,0.71138,0.75071,0.67578,1.04693,0.006238,0.006238,0.006238
40,3366.23,1.14587,1.36329,1.26014,0.88646,0.8458,0.91656,0.71672,0.76433,0.65017,1.04906,0.006139,0.006139,0.006139
41,3450.39,1.13512,1.3546,1.25469,0.89579,0.84462,0.91976,0.72448,0.74954,0.64532,1.03959,0.00604,0.00604,0.00604
42,3533.23,1.12894,1.35346,1.24861,0.89622,0.85509,0.92313,0.73214,0.72896,0.63768,1.03196,0.005941,0.005941,0.005941
43,3616.33,1.12572,1.34823,1.24926,0.8906,0.8535,0.9235,0.74479,0.69543,0.62733,1.01936,0.005842,0.005842,0.005842
44,3699.26,1.12107,1.34914,1.24468,0.89314,0.86262,0.92441,0.73884,0.71096,0.61867,1.02076,0.005743,0.005743,0.005743
45,3784.72,1.11584,1.34454,1.24518,0.89931,0.85771,0.92639,0.74251,0.71121,0.61744,1.01826,0.005644,0.005644,0.005644
46,3869.73,1.11437,1.32848,1.23783,0.90681,0.86156,0.93177,0.75464,0.68669,0.59859,1.00702,0.005545,0.005545,0.005545
47,3954.7,1.10351,1.32274,1.23682,0.9051,0.86443,0.93127,0.75095,0.6998,0.5988,1.01093,0.005446,0.005446,0.005446
48,4033.68,1.10522,1.32708,1.23361,0.90543,0.87325,0.93396,0.75397,0.69122,0.59261,1.00966,0.005347,0.005347,0.005347
49,4113.85,1.10184,1.31509,1.23527,0.90417,0.87465,0.93371,0.76178,0.67198,0.58062,1.00008,0.005248,0.005248,0.005248
