epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5303,2.43265,3.84653,1.94944,0.22534,0.25419,0.14035,0.06292,1.99087,2.79103,1.68358,0.000221623,0.000221623,0.000221623
2,84.0191,1.96467,2.81809,1.63666,0.29358,0.33533,0.235,0.10663,1.75129,2.33832,1.53201,0.000439561,0.000439561,0.000439561
3,112.299,1.80975,2.51896,1.56411,0.37064,0.37725,0.31374,0.15069,1.64192,2.12746,1.49239,0.000653097,0.000653097,0.000653097
4,140.306,1.75642,2.39112,1.53968,0.45555,0.44166,0.40419,0.20843,1.57736,1.90424,1.45067,0.00064719,0.00064719,0.00064719
5,168.213,1.69046,2.27712,1.50621,0.46288,0.45377,0.41282,0.22471,1.45403,1.83804,1.40999,0.000640587,0.000640587,0.000640587
6,196.031,1.64911,2.20199,1.48514,0.50152,0.46153,0.43565,0.23531,1.45971,1.75404,1.38629,0.000633983,0.000633983,0.000633983
7,223.634,1.60971,2.12674,1.4665,0.51141,0.46886,0.45804,0.24663,1.48827,1.78366,1.40721,0.00062738,0.00062738,0.00062738
8,251.905,1.57209,2.04904,1.44249,0.57799,0.52182,0.53335,0.28974,1.4139,1.62267,1.37863,0.000620777,0.000620777,0.000620777
9,281.926,1.57216,2.02241,1.4456,0.59481,0.51704,0.54113,0.31015,1.40994,1.58823,1.37446,0.000614174,0.000614174,0.000614174
10,310.49,1.52854,1.95805,1.42113,0.60487,0.5393,0.56177,0.33433,1.32249,1.5124,1.3254,0.00060757,0.00060757,0.00060757
11,339.302,1.51818,1.95145,1.41871,0.63055,0.54579,0.58171,0.32342,1.41121,1.5333,1.35107,0.000600967,0.000600967,0.000600967
12,367.473,1.50244,1.91141,1.40978,0.61509,0.54889,0.5834,0.33703,1.40412,1.49686,1.35999,0.000594364,0.000594364,0.000594364
13,395.621,1.4901,1.88457,1.40305,0.63187,0.57068,0.58871,0.34892,1.27646,1.43314,1.29835,0.00058776,0.00058776,0.00058776
14,423.596,1.47333,1.86259,1.39276,0.65853,0.59996,0.62811,0.36083,1.33892,1.42332,1.31973,0.000581157,0.000581157,0.000581157
15,451.678,1.47086,1.86752,1.39547,0.66635,0.58267,0.62449,0.37567,1.2949,1.38165,1.30911,0.000574554,0.000574554,0.000574554
16,479.839,1.44626,1.8259,1.38025,0.65775,0.58061,0.62058,0.37797,1.25845,1.38587,1.287,0.00056795,0.00056795,0.00056795
17,508.289,1.43789,1.81317,1.37419,0.6639,0.63137,0.64278,0.38205,1.26265,1.33767,1.2823,0.000561347,0.000561347,0.000561347
18,536.247,1.42464,1.79624,1.36782,0.66555,0.6135,0.64866,0.4064,1.18327,1.32963,1.24668,0.000554744,0.000554744,0.000554744
19,564.144,1.41566,1.77865,1.35741,0.68171,0.63459,0.68023,0.43008,1.17167,1.27628,1.24506,0.000548141,0.000548141,0.000548141
20,591.885,1.41137,1.77443,1.36457,0.69395,0.62809,0.67727,0.42713,1.15143,1.29666,1.23455,0.000541537,0.000541537,0.000541537
21,620.086,1.40421,1.75669,1.36233,0.71361,0.66603,0.699,0.44382,1.14882,1.21918,1.23133,0.000534934,0.000534934,0.000534934
22,648.999,1.3874,1.75182,1.35431,0.70124,0.65311,0.69116,0.44126,1.13794,1.23477,1.21959,0.000528331,0.000528331,0.000528331
23,676.809,1.3815,1.72608,1.34575,0.70494,0.63712,0.68129,0.43363,1.17806,1.25691,1.23689,0.000521727,0.000521727,0.000521727
24,704.923,1.38295,1.72655,1.35334,0.71849,0.65154,0.70244,0.44925,1.14629,1.23602,1.22467,0.000515124,0.000515124,0.000515124
25,733.288,1.37372,1.71748,1.34574,0.6914,0.63972,0.68773,0.43055,1.14792,1.25136,1.22528,0.000508521,0.000508521,0.000508521
26,761.44,1.36467,1.69452,1.33866,0.71698,0.65455,0.70359,0.46351,1.09055,1.19389,1.19104,0.000501917,0.000501917,0.000501917
27,789.599,1.35283,1.68726,1.33439,0.71142,0.651,0.71056,0.45151,1.15013,1.2146,1.22091,0.000495314,0.000495314,0.000495314
28,817.594,1.34815,1.66342,1.32714,0.65167,0.6292,0.67102,0.413,1.22465,1.30485,1.25161,0.000488711,0.000488711,0.000488711
29,845.828,1.33512,1.66237,1.3312,0.73555,0.69243,0.7396,0.47641,1.12442,1.13117,1.2036,0.000482108,0.000482108,0.000482108
30,874.117,1.338,1.67328,1.32541,0.69911,0.66893,0.70357,0.46374,1.0598,1.19135,1.19257,0.000475504,0.000475504,0.000475504
