epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2859,2.50173,3.89036,1.98909,0.26938,0.24334,0.14131,0.0611,1.98929,2.82754,1.7372,0.000221623,0.000221623,0.000221623
2,81.7706,1.99525,2.85327,1.6418,0.31549,0.36005,0.26127,0.12619,1.69368,2.23181,1.53745,0.000439561,0.000439561,0.000439561
3,110.271,1.84884,2.52796,1.57918,0.40351,0.40323,0.3462,0.16908,1.63255,2.08727,1.51519,0.000653097,0.000653097,0.000653097
4,138.352,1.76226,2.36728,1.53206,0.44061,0.45076,0.40148,0.18753,1.73109,1.94754,1.52085,0.00064719,0.00064719,0.00064719
5,166.844,1.6978,2.25035,1.50273,0.45985,0.40488,0.38773,0.1996,1.54939,1.95382,1.46547,0.000640587,0.000640587,0.000640587
6,196.786,1.65187,2.15828,1.47851,0.55385,0.50293,0.49291,0.26827,1.43452,1.65848,1.37649,0.000633983,0.000633983,0.000633983
7,225.584,1.62377,2.09042,1.46525,0.55501,0.50127,0.49323,0.27333,1.39584,1.69499,1.36077,0.00062738,0.00062738,0.00062738
8,254.062,1.59799,2.04166,1.45003,0.56176,0.49093,0.50479,0.28057,1.41556,1.64584,1.36964,0.000620777,0.000620777,0.000620777
9,282.524,1.58116,2.0119,1.43834,0.62094,0.54677,0.56779,0.32119,1.33811,1.58027,1.31892,0.000614174,0.000614174,0.000614174
10,311.148,1.54992,1.96024,1.42175,0.641,0.5439,0.57665,0.31186,1.39465,1.59099,1.36731,0.00060757,0.00060757,0.00060757
11,339.957,1.53967,1.94034,1.41764,0.66268,0.56579,0.59556,0.34838,1.29631,1.47458,1.31026,0.000600967,0.000600967,0.000600967
12,368.882,1.52061,1.89937,1.41287,0.67342,0.583,0.62193,0.36839,1.25252,1.43212,1.27964,0.000594364,0.000594364,0.000594364
13,397.527,1.50504,1.88275,1.40745,0.6636,0.58331,0.61558,0.35917,1.28276,1.44304,1.31093,0.00058776,0.00058776,0.00058776
14,425.92,1.48917,1.85545,1.39858,0.653,0.57656,0.60951,0.36398,1.23483,1.45799,1.2895,0.000581157,0.000581157,0.000581157
15,454.156,1.48281,1.84148,1.39899,0.64979,0.5555,0.59917,0.36156,1.23895,1.44498,1.28641,0.000574554,0.000574554,0.000574554
16,482.226,1.44812,1.80782,1.37308,0.6767,0.62402,0.63941,0.39008,1.21151,1.3527,1.26505,0.00056795,0.00056795,0.00056795
17,510.578,1.44835,1.79503,1.37504,0.68119,0.58377,0.62599,0.36586,1.29136,1.40707,1.30692,0.000561347,0.000561347,0.000561347
18,539.42,1.45227,1.79287,1.37497,0.67862,0.651,0.6656,0.40163,1.21756,1.30542,1.25647,0.000554744,0.000554744,0.000554744
19,568.915,1.4223,1.75981,1.35655,0.70689,0.64013,0.66862,0.40966,1.18142,1.30508,1.24871,0.000548141,0.000548141,0.000548141
20,597.29,1.43205,1.76788,1.3697,0.69904,0.63297,0.66648,0.41389,1.18602,1.29346,1.23893,0.000541537,0.000541537,0.000541537
21,625.958,1.42435,1.75443,1.36072,0.68767,0.65725,0.68369,0.41398,1.21155,1.30189,1.25491,0.000534934,0.000534934,0.000534934
