epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.976,0.82019,2.38756,1.05953,0.78064,0.92282,0.86305,0.79602,0.37716,0.7649,0.831,0.003328,0.003328,0.003328
2,186.523,0.53754,0.98817,0.90594,0.94473,0.94829,0.96287,0.89773,0.35212,0.50147,0.82718,0.00659539,0.00659539,0.00659539
3,265.572,0.5424,0.82902,0.90471,0.95833,0.96726,0.9756,0.90445,0.36779,0.43777,0.82234,0.00979677,0.00979677,0.00979677
4,345.834,0.51513,0.74189,0.89914,0.9592,0.96981,0.9829,0.93732,0.30756,0.38049,0.81933,0.009703,0.009703,0.009703
5,424.841,0.46422,0.64624,0.88527,0.96283,0.97011,0.98172,0.93868,0.30266,0.34759,0.81726,0.009604,0.009604,0.009604
6,504.167,0.43163,0.58014,0.874,0.95667,0.98539,0.98374,0.95168,0.26482,0.30312,0.80667,0.009505,0.009505,0.009505
7,582.029,0.40933,0.54117,0.8666,0.96139,0.97495,0.97264,0.93993,0.26943,0.30556,0.81261,0.009406,0.009406,0.009406
8,662.436,0.39114,0.51504,0.86266,0.97004,0.96424,0.97912,0.95259,0.2627,0.28824,0.8082,0.009307,0.009307,0.009307
9,741.825,0.37796,0.4931,0.86061,0.95623,0.99033,0.97744,0.9537,0.24946,0.26029,0.80429,0.009208,0.009208,0.009208
10,820.239,0.36633,0.4729,0.85528,0.96365,0.97735,0.9846,0.9616,0.23887,0.25227,0.80286,0.009109,0.009109,0.009109
11,898.781,0.35865,0.46195,0.85219,0.9534,0.99391,0.98165,0.96043,0.23183,0.24398,0.80064,0.00901,0.00901,0.00901
12,976.301,0.35249,0.45284,0.85141,0.95231,0.9933,0.97794,0.96017,0.22665,0.24409,0.79999,0.008911,0.008911,0.008911
13,1055.08,0.3448,0.44371,0.84898,0.95039,0.99213,0.97689,0.95794,0.22709,0.23477,0.79764,0.008812,0.008812,0.008812
14,1134.06,0.33977,0.43553,0.84765,0.95158,0.99686,0.9765,0.96243,0.21127,0.22896,0.79364,0.008713,0.008713,0.008713
15,1212.69,0.33217,0.42608,0.84446,0.95694,0.98963,0.98358,0.9677,0.21707,0.22631,0.796,0.008614,0.008614,0.008614
