epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61359,3.34514,4.74826,2.73761,0.00438,0.08411,0.00273,0.00099,3.21556,4.24871,2.60424,3.75e-05,3.75e-05,3.75e-05
2,10.8336,3.31759,4.666,2.65508,0.00335,0.0939,0.00254,0.00112,3.05492,4.24408,2.51744,8.04456e-05,8.04456e-05,8.04456e-05
3,14.7881,2.89447,4.52969,2.40318,0.0499,0.10124,0.02806,0.00657,2.82389,4.28691,2.37198,0.000122525,0.000122525,0.000122525
4,18.8539,2.87098,4.57306,2.35861,0.02064,0.11262,0.0155,0.00459,2.71114,4.23988,2.24175,0.000163738,0.000163738,0.000163738
5,22.8263,2.74126,4.47206,2.24004,0.0229,0.17909,0.0212,0.00903,2.55213,4.19676,2.05447,0.000204085,0.000204085,0.000204085
6,26.8121,2.69542,4.39271,2.16864,0.01535,0.22216,0.02141,0.0095,2.41418,4.21928,2.01425,0.000243566,0.000243566,0.000243566
7,30.8063,2.57686,4.34449,2.08943,0.00811,0.24934,0.02537,0.01088,2.36141,4.25294,2.0827,0.00028218,0.00028218,0.00028218
8,34.7462,2.53438,4.18691,2.0157,0.00618,0.26596,0.02745,0.01096,2.34239,4.23971,2.13757,0.000319928,0.000319928,0.000319928
9,38.6095,2.42593,4.15159,1.97473,0.01055,0.35187,0.03576,0.01476,2.27141,4.15342,2.03947,0.00035681,0.00035681,0.00035681
10,42.3861,2.5363,4.1052,2.00216,0.01061,0.39402,0.03357,0.01379,2.30095,4.03775,1.88308,0.000392826,0.000392826,0.000392826
11,46.1079,2.39993,4.00044,2.00157,0.77332,0.03139,0.04669,0.01764,2.29656,3.95236,1.86759,0.000427975,0.000427975,0.000427975
12,49.928,2.46323,3.97182,2.02338,0.60426,0.03811,0.04857,0.01817,2.27276,3.84181,1.81585,0.000462258,0.000462258,0.000462258
13,53.79,2.41457,3.92609,1.93965,0.33431,0.08055,0.04459,0.01917,2.32724,3.77831,1.79731,0.000495675,0.000495675,0.000495675
14,57.6139,2.35273,3.84413,1.88692,0.47572,0.05397,0.0584,0.02314,2.31705,3.65396,1.81813,0.000528226,0.000528226,0.000528226
15,61.4855,2.43068,3.87094,1.92263,0.45657,0.09154,0.06518,0.02534,2.27596,3.5752,1.81046,0.000538375,0.000538375,0.000538375
16,65.4071,2.30989,3.65901,1.8397,0.38444,0.13872,0.08626,0.03314,2.23641,3.51134,1.84702,0.000532187,0.000532187,0.000532187
17,69.373,2.31202,3.63137,1.81905,0.38529,0.14941,0.08731,0.03474,2.19305,3.50803,1.79538,0.000526,0.000526,0.000526
18,73.2548,2.29292,3.62329,1.83118,0.37568,0.13244,0.08063,0.03391,2.24253,3.55698,1.82053,0.000519812,0.000519812,0.000519812
19,76.9878,2.39223,3.69546,1.88087,0.2494,0.20673,0.08172,0.03108,2.25505,3.48417,1.84963,0.000513625,0.000513625,0.000513625
20,80.777,2.28724,3.55083,1.82022,0.1191,0.20685,0.07704,0.0319,2.22492,3.49412,1.8571,0.000507438,0.000507438,0.000507438
21,84.5085,2.30787,3.54101,1.87715,0.14411,0.197,0.08047,0.03349,2.21772,3.507,1.84545,0.00050125,0.00050125,0.00050125
22,88.3701,2.26777,3.41484,1.79242,0.10407,0.2047,0.08265,0.03759,2.17914,3.47197,1.78118,0.000495063,0.000495063,0.000495063
23,92.1852,2.20951,3.39404,1.80529,0.2729,0.15829,0.10483,0.04633,2.13709,3.38629,1.75103,0.000488875,0.000488875,0.000488875
24,95.989,2.25461,3.42359,1.80431,0.32825,0.12971,0.10947,0.05119,2.15081,3.39759,1.77871,0.000482687,0.000482687,0.000482687
25,99.7071,2.16637,3.35378,1.77237,0.17317,0.17291,0.11071,0.05283,2.1076,3.43921,1.74684,0.0004765,0.0004765,0.0004765
26,103.589,2.16354,3.28889,1.73914,0.17989,0.16873,0.11398,0.05279,2.0935,3.39233,1.75079,0.000470312,0.000470312,0.000470312
27,107.367,2.22574,3.34301,1.7804,0.15819,0.23543,0.12089,0.05466,2.13202,3.27495,1.75963,0.000464125,0.000464125,0.000464125
28,111.114,2.18567,3.27309,1.78656,0.17995,0.24008,0.12034,0.05272,2.09818,3.28835,1.74166,0.000457938,0.000457938,0.000457938
29,114.81,2.16312,3.29659,1.75149,0.16348,0.257,0.13027,0.05932,2.04828,3.2745,1.71813,0.00045175,0.00045175,0.00045175
30,118.613,2.15131,3.26848,1.73173,0.21285,0.2073,0.13579,0.06466,2.00391,3.17429,1.70383,0.000445562,0.000445562,0.000445562
31,122.483,2.14759,3.25626,1.7864,0.18964,0.28949,0.15201,0.06597,2.0873,3.09555,1.72517,0.000439375,0.000439375,0.000439375
32,126.246,2.10359,3.11815,1.72105,0.17855,0.26221,0.14224,0.06156,2.16199,3.08107,1.76213,0.000433187,0.000433187,0.000433187
33,129.913,2.06307,3.17947,1.7154,0.21561,0.25954,0.15582,0.06676,2.08985,3.05362,1.72361,0.000427,0.000427,0.000427
34,133.662,2.109,3.11178,1.7142,0.20952,0.29645,0.16993,0.07452,1.97984,3.00901,1.64786,0.000420812,0.000420812,0.000420812
35,137.465,2.16451,3.19503,1.77102,0.23594,0.2722,0.17651,0.07827,1.9703,2.95226,1.61953,0.000414625,0.000414625,0.000414625
36,141.364,2.0218,3.0199,1.66021,0.23174,0.24218,0.16225,0.07233,2.03105,2.9336,1.6336,0.000408438,0.000408438,0.000408438
37,145.106,2.0666,3.10351,1.7388,0.24134,0.245,0.16616,0.07254,2.02431,2.91438,1.63907,0.00040225,0.00040225,0.00040225
38,148.869,2.02479,3.09776,1.71787,0.31789,0.27165,0.19179,0.08182,1.97813,2.85512,1.62438,0.000396063,0.000396063,0.000396063
