epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.32,0.7799,0.77746,0.98455,0.81691,0.76605,0.83616,0.59078,0.65171,0.53688,0.90905,0.000207668,0.000207668,0.000207668
2,354.943,0.8147,0.80023,0.9964,0.81007,0.77244,0.82366,0.57613,0.68418,0.55566,0.92657,0.000388545,0.000388545,0.000388545
3,527.009,0.83662,0.8152,1.00009,0.77887,0.73379,0.79097,0.55349,0.68243,0.57585,0.92566,0.000541922,0.000541922,0.000541922
4,699.034,0.84301,0.82204,1.00421,0.74582,0.67268,0.74174,0.4918,0.74123,0.63789,0.95621,0.00050125,0.00050125,0.00050125
5,870.393,0.8302,0.81836,1.002,0.81618,0.78738,0.84121,0.58967,0.66143,0.52385,0.9155,0.00046,0.00046,0.00046
6,1044.32,0.73653,0.68838,0.95831,0.84125,0.7849,0.86325,0.6253,0.65097,0.53948,0.90366,0.00041875,0.00041875,0.00041875
7,1207.82,0.71959,0.65448,0.9463,0.85502,0.80963,0.8774,0.63256,0.62892,0.49007,0.89626,0.0003775,0.0003775,0.0003775
8,1370.79,0.70321,0.63537,0.93737,0.86592,0.82466,0.8927,0.67672,0.6054,0.48004,0.87994,0.00033625,0.00033625,0.00033625
9,1533.5,0.68522,0.62135,0.93201,0.88252,0.83009,0.90738,0.6969,0.55484,0.45669,0.86445,0.000295,0.000295,0.000295
10,1696.14,0.66809,0.60228,0.92335,0.89996,0.84493,0.92095,0.69555,0.58255,0.44317,0.86879,0.00025375,0.00025375,0.00025375
11,1858.84,0.65826,0.59588,0.92215,0.90204,0.84467,0.92294,0.71003,0.55749,0.42985,0.86114,0.0002125,0.0002125,0.0002125
12,2021.2,0.63866,0.57417,0.91175,0.90617,0.85654,0.92995,0.72848,0.53084,0.41582,0.85196,0.00017125,0.00017125,0.00017125
13,2183.77,0.63042,0.57209,0.91318,0.90817,0.86158,0.93513,0.74881,0.50545,0.4052,0.84249,0.00013,0.00013,0.00013
14,2345.85,0.61349,0.56125,0.90698,0.91962,0.87097,0.94183,0.7593,0.49878,0.39119,0.84094,8.875e-05,8.875e-05,8.875e-05
15,2507.98,0.59892,0.54584,0.90172,0.9163,0.8773,0.94268,0.7641,0.49494,0.38803,0.83724,4.75e-05,4.75e-05,4.75e-05
