epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73244,3.28219,4.62295,2.36044,0.00511,0.07385,0.00593,0.00141,3.31191,4.3609,2.44018,3.75e-05,3.75e-05,3.75e-05
2,9.77067,3.09695,4.61697,2.18804,0.00342,0.07636,0.00309,0.00079,2.76008,4.3888,2.12843,8.04456e-05,8.04456e-05,8.04456e-05
3,13.7616,2.52372,4.43872,1.91664,0.00367,0.08117,0.00303,0.00079,2.42225,4.36736,1.87649,0.000122525,0.000122525,0.000122525
4,17.6195,2.23746,4.30722,1.71924,0.00651,0.10444,0.00695,0.00205,2.31001,4.30447,1.7338,0.000163738,0.000163738,0.000163738
5,21.4925,2.30316,4.03816,1.71861,0.00937,0.14886,0.02237,0.00741,2.19943,4.1902,1.67051,0.000204085,0.000204085,0.000204085
6,25.3695,2.14181,3.71609,1.61207,0.00949,0.18389,0.03786,0.01231,2.111,4.08977,1.59671,0.000243566,0.000243566,0.000243566
7,29.3127,2.13865,3.40772,1.64428,0.01164,0.24323,0.07998,0.03138,2.128,3.85192,1.55866,0.00028218,0.00028218,0.00028218
8,33.1672,2.10536,3.05504,1.61066,0.01393,0.27777,0.09128,0.04579,2.14012,3.61352,1.61574,0.000319928,0.000319928,0.000319928
9,36.9424,2.07983,2.93061,1.60624,0.99873,0.04033,0.09709,0.04477,2.18171,3.35463,1.67068,0.00035681,0.00035681,0.00035681
10,40.6027,2.02173,2.64932,1.52218,0.92381,0.06721,0.10304,0.05504,2.05803,3.14435,1.6496,0.000392826,0.000392826,0.000392826
11,44.3124,1.92782,2.54165,1.52674,0.87163,0.09207,0.10643,0.05866,1.97428,3.08307,1.65621,0.000427975,0.000427975,0.000427975
12,48.1186,1.82237,2.35281,1.4464,0.68894,0.07866,0.09748,0.05722,1.89466,2.96881,1.66217,0.000462258,0.000462258,0.000462258
13,51.7947,1.81352,2.32211,1.41398,0.7751,0.08272,0.09736,0.05978,1.83177,2.89074,1.62142,0.000495675,0.000495675,0.000495675
14,55.5826,1.83796,2.27253,1.40994,0.69201,0.10844,0.10694,0.05763,1.8582,2.69104,1.54314,0.000528226,0.000528226,0.000528226
15,59.2838,1.82873,2.23169,1.39197,0.68609,0.14024,0.11417,0.06523,1.72376,2.43916,1.43327,0.000538375,0.000538375,0.000538375
16,62.9991,1.74127,2.16559,1.34921,0.69102,0.14749,0.1201,0.0615,1.82668,2.3549,1.45984,0.000532187,0.000532187,0.000532187
17,66.693,1.72789,2.12963,1.34856,0.68833,0.15058,0.12131,0.06179,1.82982,2.28635,1.46213,0.000526,0.000526,0.000526
18,70.4039,1.70774,2.01095,1.35741,0.78464,0.1255,0.12585,0.07375,1.55064,1.99951,1.3348,0.000519812,0.000519812,0.000519812
19,74.0951,1.73867,2.04709,1.35388,0.78534,0.13328,0.13344,0.06672,1.75677,1.97102,1.39662,0.000513625,0.000513625,0.000513625
20,77.7335,1.66931,2.03718,1.33614,0.40504,0.17043,0.14163,0.07741,1.54723,1.83431,1.30582,0.000507438,0.000507438,0.000507438
21,81.3933,1.59431,1.91407,1.31985,0.39023,0.15835,0.13732,0.08106,1.46304,1.77699,1.27197,0.00050125,0.00050125,0.00050125
22,85.1715,1.63904,1.92416,1.30844,0.39308,0.15955,0.14059,0.07216,1.74456,1.86491,1.40562,0.000495063,0.000495063,0.000495063
23,88.8318,1.6546,1.96717,1.32913,0.38417,0.18602,0.14699,0.08169,1.50688,1.77046,1.30727,0.000488875,0.000488875,0.000488875
24,92.5164,1.54592,1.87091,1.26459,0.46248,0.17412,0.14133,0.08042,1.47966,1.70395,1.27694,0.000482687,0.000482687,0.000482687
25,96.1313,1.53883,1.83793,1.25215,0.44278,0.18133,0.14109,0.0788,1.51934,1.66834,1.28155,0.0004765,0.0004765,0.0004765
26,99.8348,1.57054,1.8902,1.28438,0.39989,0.2184,0.14375,0.08114,1.47683,1.6032,1.26737,0.000470312,0.000470312,0.000470312
27,103.567,1.53783,1.82698,1.25784,0.28689,0.21989,0.14806,0.08214,1.47391,1.66139,1.27303,0.000464125,0.000464125,0.000464125
28,107.233,1.61157,1.86595,1.30335,0.41879,0.16971,0.14769,0.07481,1.70215,1.75537,1.3802,0.000457938,0.000457938,0.000457938
29,110.857,1.53176,1.83227,1.25496,0.45618,0.16168,0.1527,0.08127,1.52562,1.67883,1.30196,0.00045175,0.00045175,0.00045175
30,114.604,1.63755,1.84381,1.29373,0.41144,0.19791,0.15291,0.08663,1.39641,1.63751,1.24484,0.000445562,0.000445562,0.000445562
31,118.36,1.58029,1.86866,1.27955,0.25381,0.21366,0.15624,0.08505,1.43144,1.66373,1.2583,0.000439375,0.000439375,0.000439375
32,122.02,1.49531,1.87028,1.2431,0.30411,0.21499,0.16451,0.09131,1.41752,1.62262,1.26599,0.000433187,0.000433187,0.000433187
33,125.703,1.49118,1.76058,1.2547,0.31883,0.22811,0.16523,0.09315,1.35234,1.57303,1.23975,0.000427,0.000427,0.000427
34,129.419,1.57398,1.75481,1.26235,0.30625,0.2413,0.16688,0.09311,1.36368,1.64566,1.24737,0.000420812,0.000420812,0.000420812
35,133.071,1.48665,1.6828,1.22435,0.37061,0.24663,0.17361,0.09371,1.42154,1.64388,1.24719,0.000414625,0.000414625,0.000414625
36,136.75,1.50503,1.72254,1.24895,0.33405,0.26111,0.17524,0.09577,1.33502,1.5699,1.21746,0.000408438,0.000408438,0.000408438
37,140.463,1.40328,1.66808,1.21986,0.33157,0.24495,0.17623,0.09637,1.33288,1.56241,1.21324,0.00040225,0.00040225,0.00040225
38,144.142,1.40271,1.6699,1.22988,0.39196,0.24357,0.17867,0.10045,1.28738,1.51596,1.19747,0.000396063,0.000396063,0.000396063
39,147.878,1.46294,1.76434,1.26233,0.38108,0.23923,0.18143,0.10012,1.33551,1.50897,1.20278,0.000389875,0.000389875,0.000389875
40,151.569,1.47438,1.69678,1.24644,0.357,0.27767,0.18343,0.10166,1.32062,1.49022,1.20079,0.000383688,0.000383688,0.000383688
41,155.31,1.42083,1.6446,1.2074,0.38185,0.25404,0.18813,0.10088,1.3963,1.50992,1.22114,0.0003775,0.0003775,0.0003775
42,158.965,1.42701,1.66007,1.21481,0.39716,0.2451,0.19125,0.10267,1.36767,1.47905,1.20733,0.000371313,0.000371313,0.000371313
43,162.683,1.4064,1.60915,1.21909,0.39727,0.26534,0.19325,0.10869,1.24687,1.42454,1.17106,0.000365125,0.000365125,0.000365125
44,166.399,1.3978,1.57267,1.18684,0.36723,0.26668,0.18967,0.10421,1.29226,1.4434,1.18756,0.000358938,0.000358938,0.000358938
45,170.033,1.43794,1.657,1.22043,0.35159,0.27736,0.1988,0.1075,1.37451,1.46795,1.21278,0.00035275,0.00035275,0.00035275
46,173.755,1.40306,1.62458,1.20682,0.37562,0.2969,0.20511,0.11354,1.32804,1.47212,1.21422,0.000346563,0.000346563,0.000346563
47,177.463,1.41411,1.58599,1.19907,0.36569,0.29416,0.20419,0.11635,1.27078,1.44755,1.19513,0.000340375,0.000340375,0.000340375
48,181.189,1.37427,1.54649,1.16814,0.33069,0.31022,0.19434,0.10489,1.46844,1.5007,1.25647,0.000334188,0.000334188,0.000334188
